Degrees Fahrenheit,Degrees Celsius,100 SoC - SG,75% SoC - SG,"50% SoC - SG",25% SoC - SG,0% SoC - SG,"100% SoC - Wet","75% SoC - Wet","50% SoC - Wet","25% SoC - Wet","0% SoC - Wet","100%  SoC - Gel","75% SoC - Gel","50% SoC - Gel","25% SoC - Gel","0% SoC - Gel"
120,48.9,1.249,1.209,1.174,1.139,1.104,12.663,12.463,12.253,12.073,11.903,12.813,12.613,12.413,12.013,11.813
110,43.3,1.253,1.213,1.178,1.143,1.108,12.661,12.461,12.251,12.071,11.901,12.811,12.611,12.411,12.011,11.811
100,37.8,1.257,1.217,1.182,1.147,1.112,12.658,12.458,12.248,12.068,11.898,12.808,12.608,12.408,12.008,11.808
90,32.2,1.261,1.221,1.186,1.151,1.116,12.655,12.455,12.245,12.065,11.895,12.805,12.605,12.405,12.005,11.805
80,26.7,1.265,1.225,1.190,1.155,1.120,12.650,12.450,12.240,12.060,11.890,12.800,12.600,12.400,12.000,11.800
70,21.1,1.269,1.229,1.194,1.159,1.124,12.643,12.443,12.233,12.053,11.883,12.793,12.593,12.393,11.993,11.793
60,15.6,1.273,1.233,1.198,1.163,1.128,12.634,12.434,12.224,12.044,11.874,12.784,12.584,12.384,11.984,11.784
50,10.0,1.277,1.237,1.202,1.167,1.132,12.622,12.422,12.212,12.032,11.862,12.772,12.572,12.372,11.972,11.772
40,4.4,1.281,1.241,1.206,1.171,1.136,12.606,12.406,12.196,12.016,11.846,12.756,12.556,12.356,11.956,11.756
30,-1.1,1.285,1.245,1.210,1.175,1.140,12.588,12.388,12.178,11.998,11.828,12.738,12.538,12.338,11.938,11.738
20,-6.7,1.289,1.249,1.214,1.179,1.144,12.566,12.366,12.156,11.976,11.806,12.716,12.516,12.316,11.916,11.716
10,-12.2,1.293,1.253,1.218,1.183,1.148,12.542,12.342,12.132,11.952,11.782,12.692,12.492,12.292,11.892,11.692
0,-17.8,1.297,1.257,1.222,1.187,1.152,12.516,12.316,12.106,11.926,11.756,12.666,12.466,12.266,11.866,11.666
